inv_id ,item_id ,quantity 
1,ING001,300
2,ING002,25
3,ING003,40
4,ING004,10
5,ING005,25
6,ING006,20
7,ING007,15
8,ING008,15
9,ING009,15
10,ING010,15
11,ING011,20
12,ING012,15
13,ING013,20
14,ING014,10
15,ING015,10
16,ING016,10
17,ING017,15
18,ING018,20
19,ING019,15
20,ING020,80
21,ING021,10
22,ING022,10
23,ING023,100
24,ING024,5
25,ING025,10
26,ING026,10
27,ING027,350
28,ING028,15
29,ING029,15
30,ING030,30
31,ING031,10
32,ING032,30
33,ING033,10
34,ING034,10
35,ING035,60
36,ING036,30
37,ING037,15
38,ING038,15
39,ING039,25
40,ING040,25
41,ING041,25
42,ING042,25
